file; time; heur; depth
j301_6.sm;81;0;0
j301_6.sm;81;0;1
j301_6.sm;81;0;2
j301_7.sm;60; Optimal; Time
j301_7.sm;60;2;0
j301_7.sm;60;2;1
j301_7.sm;60;2;2
j301_7.sm;60;2;3
j301_7.sm;60;2;4
j301_7.sm;60;3;4
j301_7.sm;60;16;0
j301_7.sm;60;16;1
j301_7.sm;60;16;2
j301_7.sm;60;16;3
j301_7.sm;60;16;4
j301_7.sm;62;3;3
j301_7.sm;64;11;1
j301_7.sm;67;11;0
j301_7.sm;67;12;0
j301_7.sm;67;21;0
j301_7.sm;68;3;2
j301_7.sm;69;15;0
j301_7.sm;70;0;0
j301_7.sm;70;0;1
j301_7.sm;70;0;2
j301_7.sm;70;9;4
j301_7.sm;70;10;4
j301_7.sm;70;11;2
j301_7.sm;70;11;3
j301_7.sm;70;11;4
j301_7.sm;70;12;1
j301_7.sm;70;12;2
j301_7.sm;70;12;3
j301_7.sm;70;21;1
j301_7.sm;70;21;2
j301_7.sm;70;21;3
j301_7.sm;70;21;4
j301_7.sm;73;12;4
j301_7.sm;81;3;0
j301_7.sm;82;10;0
j301_7.sm;83;3;1
j301_7.sm;85;9;1
j301_7.sm;85;10;1
j301_7.sm;88;9;2
j301_7.sm;88;9;3
j301_7.sm;88;10;2
j301_7.sm;88;10;3
j301_7.sm;90;15;1
j301_7.sm;90;15;2
j301_7.sm;100;9;0
j301_7.sm;110;15;4
j301_7.sm;111;15;3
j301_8.sm;53; Optimal; Time
j301_8.sm;59;11;2
j301_8.sm;59;11;3
j301_8.sm;60;11;4
j301_8.sm;62;2;0
j301_8.sm;62;2;1
j301_8.sm;62;2;2
j301_8.sm;62;2;3
j301_8.sm;62;2;4
j301_8.sm;62;16;0
j301_8.sm;62;16;1
j301_8.sm;62;16;2
j301_8.sm;62;16;3
j301_8.sm;62;16;4
j301_8.sm;64;11;1
j301_8.sm;66;0;0
j301_8.sm;66;0;1
j301_8.sm;66;0;2
j301_8.sm;66;3;0
j301_8.sm;66;3;4
j301_8.sm;66;10;1
j301_8.sm;66;10;2
j301_8.sm;66;10;3
j301_8.sm;66;10;4
j301_8.sm;66;12;1
j301_8.sm;66;12;2
j301_8.sm;66;12;3
j301_8.sm;66;12;4
j301_8.sm;66;15;1
j301_8.sm;66;15;2
j301_8.sm;66;21;1
j301_8.sm;66;21;2
j301_8.sm;66;21;3
j301_8.sm;66;21;4
j301_8.sm;67;10;0
j301_8.sm;67;12;0
j301_8.sm;67;21;0
j301_8.sm;68;3;1
j301_8.sm;68;3;2
j301_8.sm;68;3;3
j301_8.sm;68;15;0
j301_8.sm;69;9;0
j301_8.sm;69;9;1
j301_8.sm;69;9;2
j301_8.sm;69;9;3
j301_8.sm;69;9;4
j301_8.sm;71;11;0
j301_8.sm;84;15;3
j301_8.sm;85;15;4
j301_9.sm;49; Optimal; Time
j301_9.sm;59;0;0
j301_9.sm;59;0;1
j301_9.sm;59;0;2
j301_9.sm;59;9;2
j301_9.sm;59;9;3
j301_9.sm;59;9;4
j301_9.sm;59;10;2
j301_9.sm;59;10;3
j301_9.sm;59;10;4
j301_9.sm;59;11;1
j301_9.sm;59;11;2
j301_9.sm;59;11;3
j301_9.sm;59;11;4
j301_9.sm;60;15;0
j301_9.sm;61;9;0
j301_9.sm;61;9;1
j301_9.sm;61;10;0
j301_9.sm;61;10;1
j301_9.sm;61;11;0
j301_9.sm;65;12;0
j301_9.sm;65;12;1
j301_9.sm;65;12;2
j301_9.sm;65;12;3
j301_9.sm;65;12;4
j301_9.sm;65;21;0
j301_9.sm;65;21;1
j301_9.sm;65;21;2
j301_9.sm;65;21;3
j301_9.sm;65;21;4
j301_9.sm;70;2;4
j301_9.sm;70;15;1
j301_9.sm;70;16;0
j301_9.sm;70;16;1
j301_9.sm;70;16;2
j301_9.sm;70;16;3
j301_9.sm;70;16;4
j301_9.sm;71;3;2
j301_9.sm;71;3;3
j301_9.sm;71;3;4
j301_9.sm;72;15;2
j301_9.sm;73;2;0
j301_9.sm;73;2;1
j301_9.sm;73;2;2
j301_9.sm;73;3;0
j301_9.sm;73;3;1
j301_9.sm;80;2;3
j301_9.sm;99;15;3
j301_9.sm;99;15;4
j3010_1.sm;42; Optimal; Time
j3010_1.sm;47;0;0
j3010_1.sm;47;0;1
j3010_1.sm;47;0;2
j3010_1.sm;51;3;0
j3010_1.sm;51;3;1
j3010_1.sm;51;3;2
j3010_1.sm;51;3;3
j3010_1.sm;51;3;4
j3010_1.sm;57;9;1
j3010_1.sm;57;9;4
j3010_1.sm;57;10;1
j3010_1.sm;57;10;4
j3010_1.sm;58;9;0
j3010_1.sm;58;10;0
j3010_1.sm;60;11;0
j3010_1.sm;60;11;1
j3010_1.sm;60;11;2
j3010_1.sm;60;11;3
j3010_1.sm;60;11;4
j3010_1.sm;60;12;0
j3010_1.sm;60;12;1
j3010_1.sm;60;12;2
j3010_1.sm;60;12;3
j3010_1.sm;60;12;4
j3010_1.sm;60;16;0
j3010_1.sm;60;21;1
j3010_1.sm;60;21;2
j3010_1.sm;60;21;3
j3010_1.sm;60;21;4
j3010_1.sm;62;9;2
j3010_1.sm;62;9;3
j3010_1.sm;62;10;2
j3010_1.sm;62;10;3
j3010_1.sm;63;21;0
j3010_1.sm;65;2;1
j3010_1.sm;65;2;2
j3010_1.sm;65;2;3
j3010_1.sm;65;2;4
j3010_1.sm;65;16;1
j3010_1.sm;65;16;2
j3010_1.sm;65;16;3
j3010_1.sm;65;16;4
j3010_1.sm;67;15;1
j3010_1.sm;70;2;0
j3010_1.sm;70;15;0
j3010_1.sm;70;15;2
j3010_1.sm;70;15;4
j3010_1.sm;71;15;3
j3010_10.sm;41; Optimal; Time
j3010_10.sm;47;16;3
j3010_10.sm;48;2;0
j3010_10.sm;48;2;1
j3010_10.sm;48;2;2
j3010_10.sm;48;2;3
j3010_10.sm;48;2;4
j3010_10.sm;48;3;4
j3010_10.sm;48;15;0
j3010_10.sm;48;16;4
j3010_10.sm;49;9;4
j3010_10.sm;49;10;4
j3010_10.sm;49;11;3
j3010_10.sm;49;11;4
j3010_10.sm;49;16;0
j3010_10.sm;49;16;1
j3010_10.sm;49;16;2
j3010_10.sm;51;0;0
j3010_10.sm;51;0;1
j3010_10.sm;51;0;2
j3010_10.sm;51;3;1
j3010_10.sm;51;3;2
j3010_10.sm;51;3;3
j3010_10.sm;51;12;0
j3010_10.sm;51;21;0
j3010_10.sm;52;9;0
j3010_10.sm;52;9;1
j3010_10.sm;52;9;2
j3010_10.sm;52;9;3
j3010_10.sm;52;10;0
j3010_10.sm;52;10;1
j3010_10.sm;52;10;2
j3010_10.sm;52;10;3
j3010_10.sm;52;11;0
j3010_10.sm;52;11;1
j3010_10.sm;52;11;2
j3010_10.sm;52;15;1
j3010_10.sm;54;3;0
j3010_10.sm;54;21;1
j3010_10.sm;54;21;2
j3010_10.sm;54;21;3
j3010_10.sm;55;12;4
j3010_10.sm;56;15;3
j3010_10.sm;57;12;1
j3010_10.sm;57;12;2
j3010_10.sm;57;12;3
j3010_10.sm;59;15;4
j3010_10.sm;60;21;4
j3010_10.sm;62;15;2
j3010_2.sm;56; Optimal; Time
j3010_2.sm;65;11;4
j3010_2.sm;68;3;4
j3010_2.sm;69;11;3
j3010_2.sm;70;0;0
j3010_2.sm;70;0;1
j3010_2.sm;70;0;2
j3010_2.sm;70;3;2
j3010_2.sm;70;3;3
j3010_2.sm;70;16;0
j3010_2.sm;72;2;0
j3010_2.sm;72;3;0
j3010_2.sm;72;3;1
j3010_2.sm;72;11;1
j3010_2.sm;72;11;2
j3010_2.sm;73;2;4
j3010_2.sm;73;11;0
j3010_2.sm;73;16;1
j3010_2.sm;73;16;2
